timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
43000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
553000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1068000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1520000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2025000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2531000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3035000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3544000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4051000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4225000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4731000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5237000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5744000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6248000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6750000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7250000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7752000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8259000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8772000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9272000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9776000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10279000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10779000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
11016000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
11516000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
12025000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
12532000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
13045000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
13548000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
14056000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
